Manufacturer,Model,Type,Min.Price,Price,Max.Price,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,Man.trans.avail,Fuel.tank.capacity,Length,Wheelbase,Width,Turn.circle,Weight
Nissan,Quest,Van,16.7,19.1,21.5,None,Front,6,3.0,151,No,20.0,190,112,74,41,4100
Nissan,Maxima,Midsize,21.0,21.5,22.0,Driver only,Front,6,3.0,160,No,18.5,188,104,69,41,3200
Oldsmobile,Achieva,Compact,13.0,13.5,14.0,None,Front,4,2.3,155,No,15.2,188,103,67,39,2910
Oldsmobile,Cutlass_Ciera,Midsize,14.2,16.3,18.4,Driver only,Front,4,2.2,110,No,16.5,190,105,70,42,2890
Oldsmobile,Silhouette,Van,19.5,19.5,19.5,None,Front,6,3.8,170,No,20.0,194,110,74,44,3715
Oldsmobile,Eighty-Eight,Large,19.5,20.7,21.9,Driver only,Front,6,3.8,170,No,18.0,201,111,74,42,3470
Plymouth,Laser,Sporty,11.4,14.4,17.4,None,4WD,4,1.8,92,Yes,15.9,173,97,67,39,2640
Pontiac,LeMans,Small,8.2,9.0,9.9,None,Front,4,1.6,74,Yes,13.2,177,99,66,35,2350
Pontiac,Sunbird,Compact,9.4,11.1,12.8,None,Front,4,2.0,110,Yes,15.2,181,101,66,39,2575
Pontiac,Firebird,Sporty,14.0,17.7,21.4,Driver & Passenger,Rear,6,3.4,160,Yes,15.5,196,101,75,43,3240
Pontiac,Grand_Prix,Midsize,15.4,18.5,21.6,None,Front,6,3.4,200,Yes,16.5,195,108,72,41,3450
Pontiac,Bonneville,Large,19.4,24.4,29.4,Driver & Passenger,Front,6,3.8,170,No,18.0,177,111,74,43,3495
Saab,900,Compact,20.3,28.7,37.1,Driver only,Front,4,2.1,140,Yes,18.0,184,99,67,37,2775
Saturn,SL,Small,9.2,11.1,12.9,Driver only,Front,4,1.9,85,Yes,12.8,176,102,68,40,2495
Subaru,Justy,Small,7.3,8.4,9.5,None,4WD,3,1.2,73,Yes,9.2,146,90,60,32,2045
Subaru,Loyale,Small,10.5,10.9,11.3,None,4WD,4,1.8,90,Yes,15.9,175,97,65,35,2490
Subaru,Legacy,Compact,16.3,19.5,22.7,Driver only,4WD,4,2.2,130,Yes,15.9,179,102,67,37,3085
Suzuki,Swift,Small,7.3,8.6,10.0,None,Front,3,1.3,70,Yes,10.6,161,93,63,34,1965
Toyota,Tercel,Small,7.8,9.8,11.8,Driver only,Front,4,1.5,82,Yes,11.9,162,94,65,36,2055
Toyota,Celica,Sporty,14.2,18.4,22.6,Driver only,Front,4,2.2,135,Yes,15.9,174,99,69,39,2950
Toyota,Camry,Midsize,15.2,18.2,21.2,Driver only,Front,4,2.2,130,Yes,18.5,188,103,70,38,3030
Toyota,Previa,Van,18.9,22.7,26.6,Driver only,4WD,4,2.4,138,Yes,19.8,187,113,71,41,3785
Volkswagen,Fox,Small,8.7,9.1,9.5,None,Front,4,1.8,81,Yes,12.4,163,93,63,34,2240
Volkswagen,Eurovan,Van,16.6,19.7,22.7,None,Front,5,2.5,109,Yes,21.1,187,115,72,38,3960
Volkswagen,Passat,Compact,17.6,20.0,22.4,None,Front,4,2.0,134,Yes,18.5,180,103,67,35,2985
Volkswagen,Corrado,Sporty,22.9,23.3,23.7,None,Front,6,2.8,178,Yes,18.5,159,97,66,36,2810
Volvo,240,Compact,21.8,22.7,23.5,Driver only,Rear,4,2.3,114,Yes,15.8,190,104,67,37,2985
Volvo,850,Midsize,24.8,26.7,28.5,Driver & Passenger,Front,5,2.4,168,Yes,19.3,184,105,69,38,3245
